<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20180521,1965000,2032000,1961000,1988039,14711487390,7400,225,D,1946538,2030000,,,Lotus.Gold.Com.ETF,20180521,16263,16722,16256,16482,1.85327E+11,11244181,876,D,16203,16652,,120.8264158,121.516565,120.6323819,120.6187963
Gold.Coin.9712,20180520,1942000,1957000,1934000,1946538,23514178610,12080,173,D,1978763,1957000,,,Lotus.Gold.Com.ETF,20180520,16280,16280,16112,16203,89203776435,5505537,457,D,16379,16240,,119.2874693,120.2088452,120.0347567,120.1344196
Gold.Coin.9712,20180519,1980002,1996990,1967000,1978763,11753853920,5940,164,D,1965000,1967000,,,Lotus.Gold.Com.ETF,20180519,16402,16502,16240,16379,92959391123,5675469,596,D,16320,16374,,120.7171077,121.0150285,121.1206897,120.8109775
Gold.Coin.9712,20180516,1927999,1990000,1925000,1965000,19257000340,9800,184,D,1923337,1955500,,,Lotus.Gold.Com.ETF,20180516,16239,16485,16123,16320,58280908125,3571223,532,D,16163,16393,,118.726461,120.7158022,119.3946536,120.4044118
Gold.Coin.9712,20180515,1932000,1960000,1896500,1923337,9462816970,4920,210,D,1934373,1935000,,,Lotus.Gold.Com.ETF,20180515,16240,16310,15927,16163,48794106229,3018814,464,D,16307,16260,,118.9655172,120.1716738,119.0745275,118.9962878
Gold.Coin.9712,20180514,1998000,2000000,1900001,1934373,28029067630,14490,386,D,2033368,1950000,,,Lotus.Gold.Com.ETF,20180514,16450,16470,16070,16307,85011009610,5213189,717,D,16880,16250,,121.4589666,121.4329083,118.232794,118.6222481
Gold.Coin.9712,20180513,2060002,2095000,1995000,2033368,14985922490,7370,304,D,2096816,1998600,,,Lotus.Gold.Com.ETF,20180513,16899,17155,16350,16880,1.58965E+11,9417587,1091,D,17048,16450,,121.9008225,122.1218304,122.0183486,120.4601896
Gold.Coin.9712,20180512,2102000,2147000,2025200,2096816,20213302550,9640,343,D,2112964,2055000,,,Lotus.Gold.Com.ETF,20180512,17300,17400,16501,17048,2.11609E+11,12412250,1475,D,17369,16701,,121.5028902,123.3908046,122.7319556,122.9948381
Gold.Coin.9712,20180509,2138046,2138046,2000020,2112964,24108915050,11410,295,D,1943679,2070000,,,Lotus.Gold.Com.ETF,20180509,17000,17800,16651,17369,1.91787E+11,11041690,1923,D,16076,16900,,125.7674118,120.1149438,120.1141073,121.651448
Gold.Coin.9712,20180508,1918300,2030000,1852000,1943679,15044079440,7740,355,D,1970121,1954895,,,Lotus.Gold.Com.ETF,20180508,15899,16550,15605,16076,77372969571,4812883,1100,D,16435,16011,,120.6553871,122.6586103,118.6799103,120.9056357
Gold.Coin.9712,20180507,1970001,2018000,1903870,1970121,13318018590,6760,210,D,2115411,1918700,,,Lotus.Gold.Com.ETF,20180507,16600,16702,15869,16435,1.34437E+11,8179827,949,D,17142,16000,,118.674759,120.8238534,119.9741635,119.8735017
Gold.Coin.9712,20180506,2100000,2188000,1945500,2115411,24031075580,11360,353,D,1989845,2000000,,,Lotus.Gold.Com.ETF,20180506,17251,17850,16200,17142,2.78991E+11,16274817,2033,D,16370,16380,,121.7320735,122.5770308,120.0925926,123.4051453
Gold.Coin.9712,20180505,1930000,2063097,1930000,1989845,53128853850,26700,309,D,1875543,2062000,,,Lotus.Gold.Com.ETF,20180505,16001,17000,15650,16370,2.80503E+11,17135411,1463,D,15571,17000,,120.6174614,121.3586471,123.3226837,121.5543677
Gold.Coin.9712,20180501,1860000,1899000,1845000,1875543,6489380000,3460,112,D,1846948,1876000,,,Lotus.Gold.Com.ETF,20180501,15500,15820,15405,15571,86859683418,5578243,524,D,15357,15700,,120,120.0379267,119.7663096,120.4510308
Gold.Coin.9712,20180430,1844000,1860500,1830000,1846948,4561960930,2470,75,D,1804733,1855000,,,Lotus.Gold.Com.ETF,20180430,15229,15480,15222,15357,1.20165E+11,7824567,642,D,15032,15450,,121.0847725,120.1873385,120.2207331,120.2675002
Gold.Coin.9712,20180429,1781000,1821000,1781000,1804733,3104141020,1720,72,D,1773231,1821000,,,Lotus.Gold.Com.ETF,20180429,14990,15211,14907,15032,69505945010,4623785,432,D,14798,15160,,118.8125417,119.715995,119.4740726,120.0594066
Gold.Coin.9712,20180428,1768000,1793000,1768000,1773231,3475531950,1960,52,D,1751921,1780000,,,Lotus.Gold.Com.ETF,20180428,14700,14992,14650,14798,73480905599,4965437,367,D,14794,14900,,120.2721088,119.5971185,120.6825939,119.8290985
Gold.Coin.9712,20180425,1779998,1780000,1740000,1751921,7358066680,4200,82,D,1778797,1745000,,,Lotus.Gold.Com.ETF,20180425,14940,14940,14600,14794,35305396074,2386441,231,D,14885,14750,,119.1431058,119.1432396,119.1780822,118.4210491
Gold.Coin.9712,20180424,1780000,1788000,1770000,1778797,3361926600,1890,64,D,1805929,1770000,,,Lotus.Gold.Com.ETF,20180424,15097,15097,14826,14885,17022237126,1143588,152,D,15034,14826,,117.9042194,118.434126,119.3848644,119.5026537
Gold.Coin.9712,20180423,1810000,1835000,1772002,1805929,12352555630,6840,78,D,1829007,1794000,,,Lotus.Gold.Com.ETF,20180423,15210,15210,14840,15034,44007085776,2927172,328,D,15197,15010,,119.0006575,120.644313,119.4071429,120.1229879
Gold.Coin.9712,20180422,1810002,1845000,1810000,1829007,2469160140,1350,52,D,1807674,1829500,,,Lotus.Gold.Com.ETF,20180422,15140,15250,15061,15197,46335989249,3049014,347,D,15037,15200,,119.5509908,120.9836066,120.177943,120.3531618
Gold.Coin.9712,20180421,1811000,1829000,1790000,1807674,2295746030,1270,40,D,1811225,1816000,,,Lotus.Gold.Com.ETF,20180421,15055,15143,14901,15037,71794394261,4774566,463,D,15098,15140,,120.2922617,120.7818794,120.126166,120.2150695
Gold.Coin.9712,20180418,1805000,1830000,1795000,1811225,2626277010,1450,56,D,1845838,1803000,,,Lotus.Gold.Com.ETF,20180418,15170,15223,15000,15098,70952054657,4699453,654,D,15415,15030,,118.9848385,120.2128358,119.6666667,119.9645648
Gold.Coin.9712,20180417,1865000,1873950,1815000,1845838,3451717560,1870,102,D,1793875,1815000,,,Lotus.Gold.Com.ETF,20180417,15260,15716,15180,15415,1.98909E+11,12904000,1115,D,14982,15190,,122.214941,119.2383558,119.5652174,119.7429776
Gold.Coin.9712,20180416,1777000,1825000,1750000,1793875,6547643440,3650,106,D,1752196,1820000,,,Lotus.Gold.Com.ETF,20180416,14740,15229,14733,14982,90839394115,6063337,550,D,14660,15100,,120.5563094,119.8371528,118.7809679,119.7353491
Gold.Coin.9712,20180415,1790000,1790000,1700000,1752196,7464355140,4260,152,D,1690842,1760000,,,Lotus.Gold.Com.ETF,20180415,14500,14950,14434,14660,60824523661,4149084,419,D,14353,14741,,123.4482759,119.7324415,117.7774699,119.5222374
Gold.Coin.9712,20180411,1682000,1780000,1630000,1690842,6273022200,3710,152,D,1787447,1722000,,,Lotus.Gold.Com.ETF,20180411,13950,14900,13900,14353,18432515241,1284261,363,D,14816,14436,,120.5734767,119.4630872,117.2661871,117.8040828
Gold.Coin.9712,20180410,1820000,1850000,1735020,1787447,6828046030,3820,152,D,1915429,1785000,,,Lotus.Gold.Com.ETF,20180410,14900,15290,14500,14816,1.29223E+11,8721754,890,D,15756,14710,,122.147651,120.9941138,119.6565517,120.6430211
Gold.Coin.9712,20180409,1905000,1953000,1895000,1915429,70468621180,36790,151,D,1811456,1915000,,,Lotus.Gold.Com.ETF,20180409,15500,16000,15400,15756,1.04767E+11,6649392,955,D,14879,15500,,122.9032258,122.0625,123.0519481,121.568228
Gold.Coin.9712,20180408,1775000,1865000,1775000,1811456,18929714960,10450,146,D,1760395,1865000,,,Lotus.Gold.Com.ETF,20180408,14690,15540,14590,14879,88580484464,5953223,659,D,14410,15390,,120.8304969,120.01287,121.6586703,121.7458163
Gold.Coin.9712,20180407,1755000,1785000,1712000,1760395,32972205940,18730,111,D,1724988,1771000,,,Lotus.Gold.Com.ETF,20180407,14300,14960,14258,14410,39287781930,2726515,299,D,14151,14708,,122.7272727,119.3181818,120.0729415,122.1648161
Gold.Coin.9712,20180404,1725000,1733900,1705500,1724988,5813209140,3370,33,D,1710794,1731100,,,Lotus.Gold.Com.ETF,20180404,14100,14300,14070,14151,15396848575,1088059,133,D,14017,14251,,122.3404255,121.2517483,121.2153518,121.8986644
Gold.Coin.9712,20180403,1681000,1725000,1681000,1710794,2429327130,1420,34,D,1686512,1707500,,,Lotus.Gold.Com.ETF,20180403,13950,14146,13873,14017,12821008764,914680,122,D,13778,14096,,120.5017921,121.9425986,121.1706192,122.0513662
Gold.Coin.9712,20180328,1690000,1700000,1671100,1686512,12345271070,7320,28,D,1692580,1695000,,,Lotus.Gold.Com.ETF,20180328,13970,13980,13690,13778,16132984471,1170956,131,D,13927,13970,,120.9735147,121.602289,122.0672023,122.4061547
Gold.Coin.9712,20180327,1700000,1710000,1650007,1692580,2284983160,1350,27,D,1665338,1699000,,,Lotus.Gold.Com.ETF,20180327,13885,14065,13787,13927,21754733831,1562097,190,D,13431,13990,,122.4342816,121.5783861,119.6784652,121.5322754
Gold.Coin.9712,20180326,1630000,1685000,1630000,1665338,6944457850,4170,32,D,1616155,1685000,,,Lotus.Gold.Com.ETF,20180326,13291,13882,13150,13431,19768891629,1471882,133,D,13244,13881,,122.63938,121.3802046,123.9543726,123.9921078
Gold.Coin.9712,20180325,1621000,1630000,1612000,1616155,10521170040,6510,31,D,1602436,1617000,,,Lotus.Gold.Com.ETF,20180325,13222,13305,13203,13244,29346475169,2215879,136,D,13169,13278,,122.5986991,122.5103345,122.0934636,122.0292208
Gold.Coin.9712,20180319,1620000,1620000,1595000,1602436,352536000,220,8,D,1614100,1619500,,,Lotus.Gold.Com.ETF,20180319,13203,13500,13051,13169,3989814205,302960,47,D,13125,13200,,122.6993865,120,122.2128573,121.682436
Gold.Coin.9712,20180318,1619900,1619999,1600000,1614100,129127990,80,8,D,1620518,1619999,,,Lotus.Gold.Com.ETF,20180318,13053,13191,13050,13125,9794787720,746297,58,D,13198,13168,,124.1017391,122.8109317,122.605364,122.9790476
Gold.Coin.9712,20180317,1640000,1640000,1600000,1620518,1474671850,910,19,D,1629394,1600000,,,Lotus.Gold.Com.ETF,20180317,13373,13379,13041,13198,13195370820,999828,68,D,13227,13041,,122.6351604,122.5801629,122.6899778,122.785119
Gold.Coin.9712,20180314,1620000,1645000,1619000,1629394,2867734000,1760,31,D,1596599,1645000,,,Lotus.Gold.Com.ETF,20180314,13149,13860,13146,13227,8080886817,610957,57,D,13108,13384,,123.2032854,118.6868687,123.1553324,123.1869661
Gold.Coin.9712,20180313,1595000,1614000,1595000,1596599,5204913350,3260,13,D,1592595,1614000,,,Lotus.Gold.Com.ETF,20180313,13080,13151,13021,13108,8780371318,669827,76,D,13010,13147,,121.941896,122.7283096,122.4944321,121.8034025
Gold.Coin.9712,20180312,1595000,1605000,1590000,1592595,1337780000,840,19,D,1591750,1590600,,,Lotus.Gold.Com.ETF,20180312,13020,13078,12967,13010,1361994981,104688,27,D,12999,13078,,122.5038402,122.7251873,122.6189558,122.4131437
Gold.Coin.9712,20180311,1587000,1597000,1587000,1591750,63670000,40,4,D,1593708,1597000,,,Lotus.Gold.Com.ETF,20180311,13063,13063,12958,12999,7100569164,546230,55,D,13041,13026,,121.4881727,122.2536936,122.4726038,122.4517271
Gold.Coin.9712,20180310,1602000,1602000,1580000,1593708,191245000,120,8,D,1592709,1580000,,,Lotus.Gold.Com.ETF,20180310,13045,13100,13000,13041,7195812643,551783,56,D,13020,13067,,122.8056727,122.2900763,121.5384615,122.2074994
Gold.Coin.9712,20180307,1570000,1600000,1570000,1592709,1258240000,790,8,D,1607329,1598000,,,Lotus.Gold.Com.ETF,20180307,13001,13051,13000,13020,2385600605,183231,33,D,13037,13051,,120.7599415,122.5959697,120.7692308,122.3278802
Gold.Coin.9712,20180306,1605000,1608000,1595000,1607329,13517640000,8410,12,D,1607813,1595000,,,Lotus.Gold.Com.ETF,20180306,13017,13084,13010,13037,3440542150,263901,28,D,13016,13010,,123.3002996,122.8981963,122.5980015,123.2897906
Gold.Coin.9712,20180305,1595000,1608000,1590000,1607813,24696005000,15360,14,D,1593627,1595000,,,Lotus.Gold.Com.ETF,20180305,13011,13053,12960,13016,8764562824,673390,59,D,12919,13015,,122.5885789,123.1900712,122.6851852,123.5258912
Gold.Coin.9712,20180304,1575000,1595000,1575000,1593627,18103605000,11360,20,D,1563973,1580000,,,Lotus.Gold.Com.ETF,20180304,12756,13015,12755,12919,6686275038,517545,61,D,12744,13015,,123.4713076,122.5509028,123.4809878,123.3552907
Gold.Coin.9712,20180303,1570000,1570000,1560000,1563973,1141700000,730,8,D,1545753,1566000,,,Lotus.Gold.Com.ETF,20180303,12639,12824,12625,12744,13439650636,1054595,48,D,12572,12755,,124.2186882,122.4266999,123.5643564,122.7223007
Gold.Coin.9712,20180228,1539000,1550000,1539000,1545753,2303171500,1490,21,D,1539506,1550000,,,Lotus.Gold.Com.ETF,20180228,12595,12627,12501,12572,1320118019,105004,26,D,12523,12627,,122.1913458,122.7528312,123.1101512,122.9520363
Gold.Coin.9712,20180227,1539650,1539650,1539500,1539506,1601086000,1040,4,D,1538525,1539650,,,Lotus.Gold.Com.ETF,20180227,12600,12615,12500,12523,4213876866,336481,58,D,12490,12598,,122.1944444,122.0491478,123.16,122.9342809
Gold.Coin.9712,20180226,1535000,1540999,1530000,1538525,5846396610,3800,12,D,1515879,1540999,,,Lotus.Gold.Com.ETF,20180226,12518,12681,12480,12490,25509259052,2042342,82,D,12446,12610,,122.6234223,121.520306,122.5961538,123.1805444
Gold.Coin.9712,20180225,1522000,1530000,1500020,1515879,439604980,290,15,D,1514653,1528900,,,Lotus.Gold.Com.ETF,20180225,12464,12525,12303,12446,8365407751,672116,37,D,12314,12525,,122.1116816,122.1556886,121.9231082,121.7964808
Gold.Coin.9712,20180224,1495000,1516999,1490000,1514653,2711229850,1790,13,D,1493911,1516999,,,Lotus.Gold.Com.ETF,20180224,12357,12426,12255,12314,1710832021,138933,33,D,12425,12349,,120.9840576,122.0826493,121.5830273,123.0025175
Gold.Coin.9712,20180221,1519000,1519000,1485002,1493911,3749717600,2510,9,D,1504363,1485002,,,Lotus.Gold.Com.ETF,20180221,12527,12527,12352,12425,3819041869,307377,35,D,12555,12353,,121.2580825,121.2580825,120.2236075,120.2342857
Gold.Coin.9712,20180219,1530000,1540000,1503000,1504363,3414905020,2270,17,D,1528664,1532500,,,Lotus.Gold.Com.ETF,20180219,12625,12625,12501,12555,202213807,16106,23,D,12651,12522,,121.1881188,121.980198,120.2303816,119.821824
Gold.Coin.9712,20180218,1520000,1549000,1508000,1528664,1819110000,1190,11,D,1561408,1529800,,,Lotus.Gold.Com.ETF,20180218,12750,12753,12600,12651,4988494705,394301,40,D,12808,12630,,119.2156863,121.4616169,119.6825397,120.8334519
Gold.Coin.9712,20180217,1575000,1575000,1524000,1561408,3138430400,2010,27,D,1591587,1525000,,,Lotus.Gold.Com.ETF,20180217,12853,12865,12637,12808,8407057960,656410,64,D,13119,12807,,122.5394849,122.4251846,120.5982433,121.908807
Gold.Coin.9712,20180214,1610000,1610000,1586500,1591587,3931220070,2470,17,D,1596385,1587500,,,Lotus.Gold.Com.ETF,20180214,13095,13203,13022,13119,4145400312,315981,89,D,13027,13025,,122.94769,121.9419829,121.8322838,121.3192316
Gold.Coin.9712,20180213,1595000,1605000,1590000,1596385,3943069990,2470,26,D,1568061,1605000,,,Lotus.Gold.Com.ETF,20180213,12760,13510,12760,13027,5749733154,441362,84,D,12801,13090,,125,118.8008882,124.6081505,122.544331
Gold.Coin.9712,20180212,1555000,1574000,1555000,1568061,7730539990,4930,41,D,1545513,1562000,,,Lotus.Gold.Com.ETF,20180212,12670,12889,12670,12801,1424916954,111315,47,D,12576,12854,,122.7308603,122.1196369,122.7308603,122.4951957
Gold.Coin.9712,20180210,1536000,1550000,1535900,1545513,5022918570,3250,10,D,1533623,1550000,,,Lotus.Gold.Com.ETF,20180210,12537,12673,12534,12576,2156745008,171491,31,D,12564,12673,,122.5173486,122.3072674,122.5386948,122.8938454
Gold.Coin.9712,20180207,1532000,1540000,1532000,1533623,4524187000,2950,13,D,1534570,1540000,,,Lotus.Gold.Com.ETF,20180207,12564,12569,12558,12564,661758599,52671,25,D,12524,12558,,121.9356893,122.5236693,121.9939481,122.0648679
Gold.Coin.9712,20180206,1529000,1535000,1527000,1534570,3498820000,2280,12,D,1526822,1535000,,,Lotus.Gold.Com.ETF,20180206,12495,12565,12495,12524,1991333316,159003,40,D,12493,12530,,122.3689476,122.1647433,122.2088836,122.5303417
Gold.Coin.9712,20180205,1520001,1531000,1515000,1526822,5084316430,3330,26,D,1528002,1530000,,,Lotus.Gold.Com.ETF,20180205,12499,12539,12436,12493,6484293635,519014,65,D,12458,12502,,121.6098088,122.099051,121.8237375,122.2142
Gold.Coin.9712,20180204,1515000,1532000,1515000,1528002,3590804640,2350,40,D,1506900,1532000,,,Lotus.Gold.Com.ETF,20180204,12416,12505,12412,12458,5358762775,430147,48,D,12365,12505,,122.0199742,122.5109956,122.0592975,122.6522716
Gold.Coin.9712,20180203,1504800,1520000,1501466,1506900,286310980,190,15,D,1495577,1505000,,,Lotus.Gold.Com.ETF,20180203,12292,12448,12292,12365,5505053979,445207,44,D,12277,12300,,122.4210869,122.1079692,122.1498536,121.8681763
Gold.Coin.9712,20180131,1499000,1499000,1490066,1495577,523451980,350,4,D,1485078,1496000,,,Lotus.Gold.Com.ETF,20180131,12267,12307,12248,12277,3834063383,312295,52,D,12239,12285,,122.1977664,121.8006013,121.6579033,121.8194184
Gold.Coin.9712,20180130,1490000,1493000,1485000,1485078,3029560000,2040,5,D,1495187,1493000,,,Lotus.Gold.Com.ETF,20180130,12253,12253,12214,12239,1354135687,110637,25,D,12261,12231,,121.6028728,121.8477108,121.5817914,121.3398153
Gold.Coin.9712,20180129,1500000,1500000,1492000,1495187,119615000,80,7,D,1487418,1492000,,,Lotus.Gold.Com.ETF,20180129,12229,12310,12228,12261,4838070520,394578,43,D,12200,12230,,122.6592526,121.8521527,122.0150474,121.9465786
Gold.Coin.9712,20180128,1488000,1491000,1485000,1487418,163616000,110,7,D,1487036,1488000,,,Lotus.Gold.Com.ETF,20180128,12219,12247,12184,12200,5002094641,409991,40,D,12248,12247,,121.7775595,121.7441006,121.8811556,121.9195082
Gold.Coin.9712,20180127,1498000,1502000,1470000,1487036,1130147220,760,36,D,1531194,1483000,,,Lotus.Gold.Com.ETF,20180127,12580,12580,12192,12248,4995894123,407904,63,D,12556,12197,,119.0779014,119.3958665,120.5708661,121.410516
Gold.Coin.9712,20180124,1530000,1536000,1525555,1531194,244991100,160,11,D,1538742,1530000,,,Lotus.Gold.Com.ETF,20180124,12573,12617,12536,12556,2230300945,177627,43,D,12640,12569,,121.6893343,121.7405088,121.6939215,121.9491876
Gold.Coin.9712,20180123,1540000,1547000,1530000,1538742,692434000,450,17,D,1532786,1530000,,,Lotus.Gold.Com.ETF,20180123,12650,12682,12625,12640,4444651214,351620,46,D,12603,12629,,121.7391304,121.9839142,121.1881188,121.7359177
Gold.Coin.9712,20180122,1539000,1541000,1525000,1532786,1072950020,700,22,D,1530525,1530000,,,Lotus.Gold.Com.ETF,20180122,12564,12680,12300,12603,30165259583,2393444,135,D,12571,12643,,122.4928367,121.5299685,123.9837398,121.6207252
Gold.Coin.9712,20180121,1529000,1535000,1525001,1530525,1882546040,1230,28,D,1516943,1525001,,,Lotus.Gold.Com.ETF,20180121,12515,12615,12500,12571,9239959610,735037,85,D,12462,12557,,122.1733919,121.680539,122.00008,121.7504574
Gold.Coin.9712,20180120,1518000,1528000,1501000,1516943,667454990,440,27,D,1510590,1518000,,,Lotus.Gold.Com.ETF,20180120,12410,12513,12350,12462,1716814680,137760,35,D,12416,12513,,122.3207091,122.1130025,121.5384615,121.7254855
Gold.Coin.9712,20180117,1512000,1518000,1508999,1510590,664659560,440,23,D,1506933,1510000,,,Lotus.Gold.Com.ETF,20180117,12341,12453,12341,12416,1579605057,127227,35,D,12331,12453,,122.5184345,121.8983377,122.2752613,121.6647874
Gold.Coin.9712,20180116,1504000,1511000,1504000,1506933,226039990,150,9,D,1502917,1511000,,,Lotus.Gold.Com.ETF,20180116,12330,12340,12330,12331,1996880387,161941,25,D,12347,12340,,121.9789132,122.4473258,121.9789132,122.206877
Gold.Coin.9712,20180115,1500000,1503500,1500000,1502917,90175000,60,2,D,1510238,1503500,,,Lotus.Gold.Com.ETF,20180115,12400,12405,12305,12347,3415736720,276635,37,D,12375,12306,,120.9677419,121.2011286,121.901666,121.7232526
Gold.Coin.9712,20180114,1515000,1516000,1497000,1510238,317149980,210,15,D,1497113,1516000,,,Lotus.Gold.Com.ETF,20180114,12255,12461,12243,12375,5893426593,476246,54,D,12307,12458,,123.623011,121.6595779,122.2739525,122.0394343
Gold.Coin.9712,20180113,1498000,1505000,1490000,1497113,224567000,150,14,D,1496693,1490000,,,Lotus.Gold.Com.ETF,20180113,12350,12375,12287,12307,4924502581,400136,46,D,12249,12306,,121.2955466,121.6161616,121.2663791,121.6472739
Gold.Coin.9712,20180110,1485000,1508000,1484500,1496693,927949980,620,32,D,1480238,1505000,,,Lotus.Gold.Com.ETF,20180110,12204,12399,12200,12249,5835364217,476394,50,D,12188,12260,,121.6814159,121.6227115,121.6803279,122.188995
Gold.Coin.9712,20180109,1485000,1485000,1480000,1480238,310850000,210,3,D,1474476,1480000,,,Lotus.Gold.Com.ETF,20180109,12201,12204,12151,12188,1520337638,124743,31,D,12162,12169,,121.7113351,121.6814159,121.8006748,121.4504431
Gold.Coin.9712,20180108,1477000,1485000,1470005,1474476,545556210,370,18,D,1478333,1485000,,,Lotus.Gold.Com.ETF,20180108,12148,12204,12148,12162,1418787439,116658,29,D,12135,12204,,121.5837998,121.6814159,121.0079849,121.2363098
Gold.Coin.9712,20180107,1476000,1480000,1476000,1478333,133050000,90,8,D,1473694,1477000,,,Lotus.Gold.Com.ETF,20180107,12091,12199,12090,12135,3244929532,267412,24,D,12164,12090,,122.0742701,121.3214198,122.0843672,121.8238978
Gold.Coin.9712,20180106,1475000,1490000,1466000,1473694,530530010,360,18,D,1510363,1466000,,,Lotus.Gold.Com.ETF,20180106,12240,12240,12088,12164,6935521412,570153,77,D,12387,12100,,120.5065359,121.7320261,121.2772998,121.1520881
Gold.Coin.9712,20180103,1509500,1520000,1497000,1510363,1268705090,840,50,D,1498388,1520000,,,Lotus.Gold.Com.ETF,20180103,12355,12463,12317,12387,8582669168,692879,95,D,12268,12461,,122.1772562,121.9610046,121.5393359,121.9312989
Gold.Coin.9712,20180102,1506000,1506000,1485000,1498388,734210090,490,35,D,1469399,1502000,,,Lotus.Gold.Com.ETF,20180102,12288,12317,12200,12268,6455987500,526267,55,D,12018,12315,,122.5585938,122.2700333,121.7213115,122.1379198
Gold.Coin.9712,20180101,1460000,1499000,1445000,1469399,8860473600,6030,47,D,1459559,1485000,,,Lotus.Gold.Com.ETF,20180101,11989,12260,11901,12018,10410508715,866247,95,D,11898,12260,,121.7782968,122.2675367,121.4183682,122.2665169
Gold.Coin.9712,20171231,1460000,1460000,1442200,1459559,7662683540,5250,24,D,1426188,1452002,,,Lotus.Gold.Com.ETF,20171231,11864,11960,11851,11898,7113340431,597853,87,D,11775,11960,,123.0613621,122.0735786,121.6943718,122.6726341
Gold.Coin.9712,20171230,1430500,1430900,1423001,1426188,1169474190,820,11,D,1412593,1428000,,,Lotus.Gold.Com.ETF,20171230,11731,11820,11722,11775,3659897191,310820,44,D,11663,11751,,121.9418634,121.0575296,121.3957516,121.12
Gold.Coin.9712,20171227,1412000,1418000,1409000,1412593,381400000,270,4,D,1409600,1418000,,,Lotus.Gold.Com.ETF,20171227,11635,11750,11635,11663,2319691680,198891,17,D,11620,11700,,121.3579716,120.6808511,121.1001289,121.1174655
Gold.Coin.9712,20171226,1408500,1410900,1408500,1409600,56384000,40,4,D,1404387,1410900,,,Lotus.Gold.Com.ETF,20171226,11620,11630,11620,11620,122549492,10546,16,D,11633,11621,,121.2134251,121.3155632,121.2134251,121.3080895
Gold.Coin.9712,20171225,1408500,1410000,1400000,1404387,323009040,230,12,D,1408500,1400001,,,Lotus.Gold.Com.ETF,20171225,11640,11650,11620,11633,2432303136,209079,37,D,11628,11631,,121.0051546,121.0300429,120.4819277,120.7244047
Gold.Coin.9712,20171224,1408500,1408500,1408500,1408500,14085000,10,1,D,1404721,1408500,,,Lotus.Gold.Com.ETF,20171224,11620,11644,11610,11628,575532155,49497,14,D,11622,11635,,121.2134251,120.9635864,121.3178295,121.130031
Gold.Coin.9712,20171223,1402900,1406500,1402000,1404721,1123777000,800,12,D,1401409,1406000,,,Lotus.Gold.Com.ETF,20171223,11625,11649,11620,11622,966270469,83141,11,D,11612,11621,,120.6795699,120.7399777,120.6540448,120.8674066
Gold.Coin.9712,20171220,1403000,1403900,1398000,1401409,154155000,110,8,D,1407500,1402900,,,Lotus.Gold.Com.ETF,20171220,11621,11621,11610,11612,574196476,49448,26,D,11627,11610,,120.7297134,120.8071595,120.4134367,120.6862728
Gold.Coin.9712,20171219,1407000,1410000,1406001,1407500,84450020,60,6,D,1402378,1406001,,,Lotus.Gold.Com.ETF,20171219,11630,11650,11620,11627,1471296589,126539,25,D,11658,11640,,120.9802236,121.0300429,120.9983649,121.0544422
Gold.Coin.9712,20171218,1399500,1405800,1398000,1402378,1556640000,1110,11,D,1400433,1405000,,,Lotus.Gold.Com.ETF,20171218,11680,11700,11650,11658,1205141673,103373,32,D,11715,11650,,119.8202055,120.1538462,120,120.2931892
Gold.Coin.9712,20171217,1413900,1413900,1397000,1400433,308095180,220,11,D,1418329,1397000,,,Lotus.Gold.Com.ETF,20171217,11725,11730,11700,11715,342153541,29207,25,D,11741,11700,,120.5884861,120.5370844,119.4017094,119.5418694
Gold.Coin.9712,20171216,1425000,1425000,1414000,1418329,2623909000,1850,14,D,1419151,1424900,,,Lotus.Gold.Com.ETF,20171216,11770,11795,11725,11741,1415205336,120532,43,D,11759,11726,,121.0705183,120.8139042,120.5970149,120.8013798
Gold.Coin.9712,20171213,1415000,1427500,1415000,1419151,12488525000,8800,9,D,1422881,1427500,,,Lotus.Gold.Com.ETF,20171213,11759,11770,11736,11759,1142357240,97145,26,D,11717,11736,,120.3333617,121.2829227,120.5691888,120.6863679
Gold.Coin.9712,20171212,1410003,1429500,1410003,1422881,611839030,430,16,D,1423552,1424000,,,Lotus.Gold.Com.ETF,20171212,11722,11750,11704,11717,2042849263,174348,42,D,11750,11730,,120.2868964,121.6595745,120.47189,121.4373133
Gold.Coin.9712,20171211,1410000,1427000,1410000,1423552,412830000,290,13,D,1423374,1415000,,,Lotus.Gold.Com.ETF,20171211,11899,11899,11711,11750,2108551434,179452,51,D,11756,11750,,118.4973527,119.9260442,120.3996243,121.1533617
Gold.Coin.9712,20171210,1408001,1435000,1408001,1423374,797089310,560,13,D,1407335,1415000,,,Lotus.Gold.Com.ETF,20171210,11675,11860,11673,11756,3351245479,285073,39,D,11657,11850,,120.5996574,120.994941,120.6203204,121.0763865
Gold.Coin.9712,20171209,1413899,1413899,1401877,1407335,1308821520,930,12,D,1446385,1408000,,,Lotus.Gold.Com.ETF,20171209,11800,11800,11627,11657,1073847331,92120,46,D,11882,11655,,119.8219492,119.8219492,120.5708265,120.7287467
