<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20180916,4615100,4671521,4615100,4666592,47925903510,10270,290,D,4449068,4656000,,,Lotus.Gold.Com.ETF,20180916,36000,36299,35800,36021,1.64487E+11,4566392,1822,D,34577,35856,,128.1972222,128.6955839,128.9134078,129.5519836
Gold.Coin.9712,20180915,4410500,4495000,4360000,4449068,41954715790,9430,237,D,4402773,4490000,,,Lotus.Gold.Com.ETF,20180915,34459,34995,34120,34577,1.43519E+11,4150694,1527,D,34459,34841,,127.992687,128.446921,127.7842907,128.6713133
Gold.Coin.9712,20180912,4435555,4454000,4375000,4402773,34958020390,7940,341,D,4536867,4406000,,,Lotus.Gold.Com.ETF,20180912,34080,34700,34080,34459,57431540578,1666642,1652,D,35754,34603,,130.1512617,128.3573487,128.3744131,127.7684495
Gold.Coin.9712,20180911,4597300,4597300,4400000,4536867,49996273190,11020,385,D,4378381,4476012,,,Lotus.Gold.Com.ETF,20180911,37000,37200,34510,35754,3.26482E+11,9131264,3637,D,35049,35297,,124.2513514,123.5833333,127.4992756,126.891173
Gold.Coin.9712,20180910,4378382,4378382,4378300,4378381,20753529440,4740,64,D,4169888,4378382,,,Lotus.Gold.Com.ETF,20180910,34200,35398,34200,35049,2.47399E+11,7058584,3080,D,32129,35299,,128.0228655,123.6900955,128.0204678,124.9217096
Gold.Coin.9712,20180909,4000000,4398000,3999999,4169888,66384625590,15920,639,D,4758295,4232000,,,Lotus.Gold.Com.ETF,20180909,30255,33670,30255,32129,2.42633E+11,7551870,3141,D,33853,32910,,132.2095521,130.6207306,132.2095191,129.785801
Gold.Coin.9712,20180908,4758295,4758295,4758295,4758295,237914750,50,4,D,4806359,4758295,,,Lotus.Gold.Com.ETF,20180908,34520,34571,33160,33853,1.47997E+11,4371763,3538,D,39362,33400,,137.841686,137.6383385,143.4950241,140.5575577
Gold.Coin.9712,20180905,4819051,4819051,4723625,4806359,1.22706E+11,25530,373,D,4771338,4723625,,,Lotus.Gold.Com.ETF,20180905,42100,42560,36520,39362,4.11302E+11,10449311,6038,D,40158,36521,,114.4667696,113.2295818,129.3435104,122.1065749
Gold.Coin.9712,20180904,4771338,4771338,4771338,4771338,60261998940,12630,73,D,4724098,4771338,,,Lotus.Gold.Com.ETF,20180904,39700,40999,39451,40158,3.45361E+11,8599969,3707,D,37734,40797,,120.1848363,116.376936,120.9433981,118.8141342
Gold.Coin.9712,20180903,4724098,4724098,4724098,4724098,47996835680,10160,135,D,4499141,4724098,,,Lotus.Gold.Com.ETF,20180903,38400,38400,36610,37734,2.69261E+11,7135802,4044,D,36020,38300,,123.0233854,123.0233854,129.0384594,125.1947315
Gold.Coin.9712,20180902,4499141,4499141,4499141,4499141,19481280530,4330,47,D,4284897,4499141,,,Lotus.Gold.Com.ETF,20180902,36350,36500,35402,36020,3.0925E+11,8585547,3483,D,32924,35593,,123.7727923,123.264137,127.0871985,124.9067463
Gold.Coin.9712,20180901,4151213,4347000,4151213,4284897,56346393880,13150,435,D,4148067,4347000,,,Lotus.Gold.Com.ETF,20180901,32400,33200,32310,32924,1.70691E+11,5184381,1455,D,32275,33199,,128.123858,130.9337349,128.480749,130.1450917
Gold.Coin.9712,20180829,4230000,4230000,4100000,4148067,47702769640,11500,458,D,4232748,4175000,,,Lotus.Gold.Com.ETF,20180829,32949,32949,31921,32275,1.45218E+11,4499336,1759,D,32964,32201,,128.380224,128.380224,128.4420914,128.5226026
Gold.Coin.9712,20180828,4241079,4241079,4161000,4232748,52020470430,12290,371,D,4039123,4241079,,,Lotus.Gold.Com.ETF,20180828,32701,33150,32701,32964,1.55903E+11,4729546,1866,D,31414,33140,,129.6926394,127.9360181,127.2438152,128.4051693
Gold.Coin.9712,20180827,3990000,4090000,3990000,4039123,37604236080,9310,365,D,3923585,4070000,,,Lotus.Gold.Com.ETF,20180827,31100,31601,31015,31414,1.55143E+11,4938700,1556,D,30459,31512,,128.2958199,129.426284,128.6474287,128.577163
Gold.Coin.9712,20180826,3900001,3946327,3900000,3923585,30839379320,7860,303,D,3868948,3934444,,,Lotus.Gold.Com.ETF,20180826,30205,30585,30205,30459,1.20008E+11,3939974,1132,D,30103,30520,,129.1177289,129.0281838,129.1176957,128.8152927
Gold.Coin.9712,20180825,3850000,3895000,3847000,3868948,38457343330,9940,384,D,3957786,3870000,,,Lotus.Gold.Com.ETF,20180825,30200,30260,29750,30103,52510380544,1744349,1128,D,30568,30150,,127.4834437,128.7177792,129.3109244,128.5236687
Gold.Coin.9712,20180821,3901000,3975000,3901000,3957786,31662289470,8000,391,D,3852539,3970000,,,Lotus.Gold.Com.ETF,20180821,30100,30715,30100,30568,2.03229E+11,6648385,1739,D,29765,30640,,129.6013289,129.415595,129.6013289,129.4748103
Gold.Coin.9712,20180820,3830002,3869997,3830002,3852539,36367971940,9440,318,D,3756877,3865000,,,Lotus.Gold.Com.ETF,20180820,29507,29911,29507,29765,1.75425E+11,5893732,1462,D,29175,29800,,129.7997763,129.3837384,129.7997763,129.4318495
Gold.Coin.9712,20180819,3682011,3799788,3682011,3756877,50079175080,13330,447,D,3810330,3788000,,,Lotus.Gold.Com.ETF,20180819,28965,29450,28500,29175,1.70034E+11,5828147,1816,D,29659,29124,,127.1193164,129.0250594,129.1933684,128.7704199
Gold.Coin.9712,20180818,3820000,3830000,3790000,3810330,31435223050,8250,296,D,3859252,3805002,,,Lotus.Gold.Com.ETF,20180818,29295,29848,29295,29659,1.28171E+11,4321485,1439,D,29952,29600,,130.3976788,128.3168051,129.3736132,128.4712903
Gold.Coin.9712,20180815,3897000,3899000,3825000,3859252,54762782830,14190,539,D,3923882,3834000,,,Lotus.Gold.Com.ETF,20180815,30000,30269,29687,29952,1.23759E+11,4131930,1729,D,30326,29750,,129.9,128.8116555,128.8442753,128.84789
Gold.Coin.9712,20180814,3950000,3962000,3875000,3923882,58505085340,14910,495,D,3773780,3962000,,,Lotus.Gold.Com.ETF,20180814,29999,30647,29801,30326,2.1655E+11,7140747,2255,D,29339,30444,,131.6710557,129.2785591,130.0291937,129.3900284
Gold.Coin.9712,20180813,3857000,3857000,3740000,3773780,56606705860,15000,517,D,3685102,3790000,,,Lotus.Gold.Com.ETF,20180813,29213,29600,29150,29339,1.80242E+11,6143361,1867,D,28695,29350,,132.0302605,130.3040541,128.3018868,128.6267426
Gold.Coin.9712,20180812,3708165,3708165,3602000,3685102,66110731040,17940,530,D,3531586,3708165,,,Lotus.Gold.Com.ETF,20180812,29000,29450,27800,28695,3.96828E+11,13828991,2561,D,29576,29300,,127.8677586,125.9139219,129.5683453,128.4231399
